sample,fastq_1,fastq_2,strandedness,seq_platform
DU1704S0019701,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019701.fastq.gz,,auto,Illumina
DU1704S0019702,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019702.fastq.gz,,auto,Illumina
DU1704S0019703,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019703.fastq.gz,,auto,Illumina
DU1704S0019704,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019704.fastq.gz,,auto,Illumina
DU1704S0019705,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019705.fastq.gz,,auto,Illumina
DU1704S0019706,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019706.fastq.gz,,auto,Illumina
DU1704S0019707,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019707.fastq.gz,,auto,Illumina
DU1704S0019708,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019708.fastq.gz,,auto,Illumina
DU1704S0019709,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019709.fastq.gz,,auto,Illumina
DU1704S0019710,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019710.fastq.gz,,auto,Illumina
DU1704S0019711,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019711.fastq.gz,,auto,Illumina
DU1704S0019712,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019712.fastq.gz,,auto,Illumina
DU1704S0019713,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019713.fastq.gz,,auto,Illumina
DU1704S0019714,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019714.fastq.gz,,auto,Illumina
DU1704S0019715,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019715.fastq.gz,,auto,Illumina
DU1704S0019716,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019716.fastq.gz,,auto,Illumina
DU1704S0019717,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019717.fastq.gz,,auto,Illumina
DU1704S0019718,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019718.fastq.gz,,auto,Illumina
DU1704S0019719,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019719.fastq.gz,,auto,Illumina
DU1704S0019720,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019720.fastq.gz,,auto,Illumina
DU1704S0019721,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019721.fastq.gz,,auto,Illumina
DU1704S0019722,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019722.fastq.gz,,auto,Illumina
DU1704S0019723,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019723.fastq.gz,,auto,Illumina
DU1704S0019724,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019724.fastq.gz,,auto,Illumina
DU1704S0019725,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019725.fastq.gz,,auto,Illumina
DU1704S0019726,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019726.fastq.gz,,auto,Illumina
DU1704S0019727,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019727.fastq.gz,,auto,Illumina
DU1704S0019728,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019728.fastq.gz,,auto,Illumina
