sample,fastq_1,fastq_2,strandedness,seq_platform
DU17-04S0024490,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024490_S1_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024490_S1_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024490,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024490_S1_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024490_S1_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024491,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024491_S2_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024491_S2_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024491,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024491_S2_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024491_S2_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024492,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024492_S3_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024492_S3_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024492,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024492_S3_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024492_S3_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024493,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024493_S4_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024493_S4_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024493,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024493_S4_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024493_S4_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024497,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024497_S5_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024497_S5_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024497,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024497_S5_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024497_S5_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024498,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024498_S6_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024498_S6_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024498,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024498_S6_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024498_S6_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024499,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024499_S7_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024499_S7_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024499,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024499_S7_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024499_S7_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024500,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024500_S8_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024500_S8_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024500,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024500_S8_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024500_S8_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024501,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024501_S9_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024501_S9_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024501,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024501_S9_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024501_S9_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024504,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024504_S10_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024504_S10_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024504,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024504_S10_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024504_S10_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024505,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024505_S11_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024505_S11_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024505,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024505_S11_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024505_S11_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024506,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024506_S12_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024506_S12_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024506,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024506_S12_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024506_S12_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024507,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024507_S13_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024507_S13_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024507,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024507_S13_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024507_S13_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024511,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024511_S14_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024511_S14_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024511,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024511_S14_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024511_S14_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024512,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024512_S15_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024512_S15_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024512,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024512_S15_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024512_S15_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024513,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024513_S16_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024513_S16_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024513,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024513_S16_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024513_S16_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024514,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024514_S17_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024514_S17_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024514,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024514_S17_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024514_S17_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024515,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024515_S18_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024515_S18_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024515,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024515_S18_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024515_S18_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024519,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024519_S19_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024519_S19_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024519,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024519_S19_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024519_S19_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024520,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024520_S20_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024520_S20_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024520,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024520_S20_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024520_S20_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024521,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024521_S21_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024521_S21_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024521,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024521_S21_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024521_S21_L002_R2_001.fastq.gz,auto,Illumina
